,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-07-07,18,,,,,,,17,4,,,1,6,260,,,,,128,,152,152,146,128
2019-07-08,16,24,,,,,,16,6,6,6,4,0,,,,,,,,,,,
2019-07-09,,,,,0,6,6,6,6,6,294,294,358,294,1,6,6,19,6,6,6,6,6,1
2019-07-10,2,6,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,294,358,358,326,292,358,292,326,294,294,293,293,24,2,146,18,152,128,128,128,146,144
2019-07-12,152,,,,,,,,,,,,,,,,,,,144,,24,147,144
2019-07-13,144,144,294,358,358,358,358,358,294,358,358,358,358,358,16,2,2,1,0,1,24,6,1,2
2019-07-14,1,,,,,,6,,6,6,6,6,6,,,0,6,1,6,6,6,6,0,0
2019-07-15,1,0,,6,262,6,38,4,294,36,294,5,38,,,,,,,,,0,0,0
2019-07-16,1,1,16,,,,6,6,6,38,38,0,2,2,16,0,24,128,128,0,6,6,16,2
2019-07-17,24,144,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,,24,24,24,19,2,25,24,16,16,17,16,,0,2,0,24,24,24,1,6,2
2019-07-19,17,,,,,,,,,,,,,,,,,,,,,1,1,1
2019-07-20,1,1,,,4,294,292,6,292,0,292,294,9,1,0,6,16,6,0,1,2,152,2,1
2019-07-21,6,,,,,,,,,,,,,,,,,,,,1,0,0,18
2019-07-22,6,144,,0,38,38,6,17,6,147,1,17,152,152,,,1,16,16,128,9,9,152,136
2019-07-23,24,,,,9,9,41,1,1,1,2,56,24,17,,24,18,18,144,128,138,128,24,152
2019-07-24,144,144,,6,1,1,6,38,17,6,19,18,17,,,,,,,,,,,
2019-07-25,,16,16,,,294,38,294,292,294,260,358,294,22,,6,6,6,6,0,0,6,6,1
2019-07-26,6,0,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,,152,144,144,144,144,144,138,144,18,144,147,,,,0,6,1,1,144,2,2
2019-07-28,6,,,,,,,,,,,,,,,,17,17,,,16,,,16
2019-07-29,24,1,,6,6,6,6,17,6,294,294,294,1,1,16,16,128,153,144,152,146,146,24,152
2019-07-30,24,,,,18,18,18,19,19,152,152,152,152,,1,0,0,0,17,17,0,0,1,17
2019-07-31,24,24,,,,17,19,19,17,17,16,1,17,,17,17,17,17,16,16,24,17,16,24
2019-08-01,17,17,1,,,,,152,128,128,16,16,18,18,,17,0,0,,17,17,2,,0
2019-08-02,24,6,6,,,,,,,,,,,,,,,,,,,,,
2019-08-03,,,,16,24,24,144,24,24,16,144,24,17,24,,16,24,24,24,152,16,144,152,152
2019-08-04,146,,,,,,,,,,,,,,,,16,,16,16,16,16,,144
2019-08-05,144,,,,144,146,144,144,152,152,152,152,144,19,,,24,,,,24,24,,19
2019-08-06,24,,,,,,,,,,,,,,,,16,,,24,24,24,24,19
2019-08-07,144,144,24,,,17,1,1,24,19,19,19,1,2,,,16,,1,16,154,16,24,144
2019-08-08,16,,,,,,,,25,144,144,152,152,152,,,24,1,1,16,16,25,152,152
2019-08-09,24,24,,19,24,16,24,16,138,138,24,24,16,,,,,,,,,,,
2019-08-10,,,24,,,,144,16,176,24,48,144,144,16,,0,1,24,17,25,24,1,18,17
2019-08-11,18,18,,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,,,,,294,6,6,294,262,6,2,294,6,,1,1,24,1,2,2,2,152,2
2019-08-13,6,,,,,,,,,,,,,,,,,,24,,19,19,24,16
2019-08-14,24,2,,,6,2,16,24,24,24,17,19,2,16,1,0,16,144,1,16,16,24,24,17
2019-08-15,24,,,,,1,,,,,1,1,,,,,1,0,0,24,24,16,0,0
2019-08-16,0,0,,,,,,,38,6,4,4,292,,16,1,1,24,24,0,24,24,1,24
2019-08-17,24,24,144,,,,147,6,18,18,6,6,6,6,0,0,0,0,2,24,24,0,0,0
2019-08-18,0,6,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,147,,152,147,147,,154,144,,24,16,16,16,16,24,16,24,2
2019-08-20,144,,,,,,,,,,,,,,,,,,,1,1,152,144,
2019-08-21,,152,,,17,17,24,1,24,24,9,4,16,1,,,,0,2,17,1,2,17,16
2019-08-22,2,,,,,,,,,,,,,,,24,,,,16,16,131,24,24
2019-08-23,144,144,,,154,128,128,128,144,128,146,146,147,128,,24,,,,16,16,,24,
2019-08-24,,,,,144,144,144,24,2,18,152,17,144,154,17,2,2,152,152,152,128,147,152,0
2019-08-25,154,154,,,6,292,260,6,292,6,294,36,6,,,,,,,,,,,
2019-08-26,,0,0,,294,294,294,294,358,294,358,294,358,294,,6,6,,70,6,6,6,1,1
2019-08-27,1,6,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,,,,,144,,,,19,176,144,19,176,176,,,,2,1,16,1,17,17,17
2019-08-29,18,,,,,,,,,,,,,,,,,24,16,24,146,144,24,24
2019-08-30,24,24,,,,,,19,19,19,,9,176,176,,,,,,24,,18,152,152
2019-08-31,128,,,,,,,,,2,,17,17,,,0,1,6,1,1,0,1,0,1
2019-09-01,0,24,,,,294,358,262,294,294,37,294,260,,,,,,,0,1,1,1,0
2019-09-02,1,1,1,,,,,6,1,0,0,6,2,17,,,6,17,2,17,24,16,2,17
2019-09-03,1,1,38,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,,6,292,294,6,4,0,6,294,294,294,4,2,2,16,17,2,19,16,16,1,24
2019-09-05,24,,,,,,,,,,,,,,,,,,24,24,24,24,24,16
2019-09-06,16,,,,,6,6,6,294,294,0,19,18,18,,19,1,1,24,144,152,2,17,17
2019-09-07,24,,,,,,,,,,,,,,,,,,,,24,24,17,24
2019-09-08,24,19,17,2,2,6,6,25,152,152,24,144,144,1,16,17,24,24,24,17,24,17,24,1
2019-09-09,1,,,,,,,24,144,147,147,152,24,144,,,144,144,,18,18,16,17,128
2019-09-10,152,144,,,,6,6,37,294,6,6,6,4,,,,,,,,,,,
2019-09-11,,,,,,1,0,0,6,6,0,2,0,4,,17,1,,1,17,24,24,24,24
2019-09-12,17,17,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,,,,146,147,6,6,6,6,147,146,153,153,147,,16,24,16,24,24,18,16,24,24
2019-09-14,144,,,,,,,,,,,,,,,,,,,,,,,48
2019-09-15,8,17,,,304,25,144,147,144,144,153,144,144,144,,,16,,16,,,,19,19
2019-09-16,24,,,,,,,,,,,152,,,,,,,,,,,,
2019-09-17,,,,,,,,147,,,24,6,,,,,,,24,,,,16,
2019-09-18,16,,,,,,,292,6,6,294,294,262,294,,17,,19,19,19,24,24,24,19
2019-09-19,24,16,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,2,,6,6,6,6,0,1,1,24,1,1,17,6,6,6,17,17,,6,6,0
2019-09-21,0,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,,,,,24,,,24,17,25,24,17,25,0,24,,,19,19,,,,19,19
2019-09-23,19,,,,,,,,,,,,,,,,,,24,24,,,,0
2019-09-24,1,,,,,,9,18,294,4,4,260,260,294,24,,,,,,16,16,144,144
2019-09-25,,,,,,,,144,,,144,,186,186,,,24,0,6,6,6,2,2,2
2019-09-26,2,0,,,,292,294,294,294,262,262,358,358,,,,,,,,,,,
2019-09-27,,,,,,,4,294,294,358,358,326,326,358,2,2,2,,6,2,2,2,2,6
2019-09-28,6,6,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,,,,,358,,358,294,294,294,294,292,294,292,6,2,2,2,2,2,17,17,17,24
2019-09-30,16,,,,,,,,,,,,,,,,1,1,1,16,16,57,9,144
2019-10-01,144,1,,288,137,144,16,0,153,313,153,144,16,144,,,,17,41,41,,1,1,9
