,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-06-24,326,294,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,,,,358,358,292,292,294,292,292,294,294,292,294,,70,6,2,2,6,18,70,70,6
2019-06-26,6,,,,,,,,,,,,,,,,,16,18,18,144,24,147,176
2019-06-27,128,147,,128,154,154,144,18,18,144,144,147,147,56,,,,2,6,1,0,6,2,17
2019-06-28,0,,,,432,176,176,176,25,176,24,176,176,,,,0,2,24,24,24,17,24,16
2019-06-29,1,24,,6,17,292,4,6,6,6,6,18,17,,,6,6,6,6,6,2,6,4,4
2019-06-30,0,4,4,,,,294,294,358,358,294,358,294,358,,,294,294,358,358,358,262,6,294
2019-07-01,326,326,294,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,24,1,1,1,25,25,48,144,,0,24,,6,6,24,24,18,144
2019-07-03,6,,,,,,,,,,,,,,,,6,6,6,,,6,6,4
2019-07-04,4,4,,,,294,292,294,294,6,154,150,326,150,17,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,,,2,17,2,2,19,6,17
2019-07-06,1,16,,24,176,160,160,144,16,128,24,154,154,128,,,,,,16,19,19,147,146
2019-07-07,18,,,,,,293,,1,1,4,,17,6,,,,,,,128,128,128,128
2019-07-08,16,24,,,,,,16,6,6,6,4,0,,,,,,,,,,,
2019-07-09,,,,,0,6,6,6,6,6,294,294,358,294,1,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,,294,294,294,294,326,292,294,294,294,294,294,,19,144,144,144,144,18,128,152,19
2019-07-12,128,,,,,,,,,,,,,,,,,,,1,1,,16,16
2019-07-13,24,24,294,,,,,,,,,,,,,,128,19,144,16,16,16,144,152
2019-07-14,144,,,6,,,,,,,,,,,,0,0,0,0,0,17,17,17,17
2019-07-15,0,0,,,294,36,292,4,4,4,292,0,294,,,,,,1,,0,0,,16
2019-07-16,1,24,1,,,,6,17,54,56,154,16,128,24,,128,128,144,144,0,6,6,16,2
2019-07-17,24,144,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,,24,24,24,19,2,25,24,16,16,17,16,,0,2,0,24,24,24,1,6,2
2019-07-19,17,,,,,,,,,,,,,,,,,,,,,1,1,1
2019-07-20,1,1,,,4,294,292,6,292,0,292,294,9,1,0,,,,,,,,,
2019-07-21,,,,,,,,,,,,,,,,,,,,6,6,1,1,8
2019-07-22,8,18,,128,2,2,6,6,144,144,56,17,1,9,,,24,16,24,24,16,1,9,8
2019-07-23,144,,,0,,,,,,,,,,,152,,,,,,,,,
2019-07-24,,,,,38,38,0,0,1,8,1,1,9,,,,,,,,,,1,1
2019-07-25,24,19,24,,,6,6,1,6,6,6,6,4,6,,2,2,2,6,0,0,1,17,17
2019-07-26,17,2,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,,,,16,19,2,18,2,144,18,144,147,,,,0,6,1,1,144,2,2
2019-07-28,6,,,,,,,,,,,,,,,,17,17,,,16,,,16
2019-07-29,24,1,,6,6,33,294,2,2,2,16,1,16,24,,17,24,18,18,19,19,24,16,16
2019-07-30,16,,,,16,17,17,16,16,17,24,17,17,,17,,,,,,,,,
2019-07-31,,,,,,,19,17,17,17,17,17,24,,17,17,17,17,16,16,24,17,16,24
2019-08-01,17,17,1,,,,,152,128,128,16,16,18,18,,17,0,0,,17,17,2,,0
2019-08-02,24,6,,,,,,,,,,,,,,,,,,,,,,
2019-08-03,,,16,,,,,,,,,,,,,24,24,19,24,24,144,16,19,130
2019-08-04,138,,,,,,,,,,,,,,,,16,16,,144,144,16,16,16
2019-08-05,16,,,,154,154,152,17,25,17,25,25,17,152,,,,,,,24,24,,19
2019-08-06,,,,,,,,,,,,,,,,,,24,16,,17,17,17,19
2019-08-07,24,24,,,,17,1,1,24,19,19,19,1,2,,,16,,1,19,19,16,16,16
2019-08-08,24,,,,,,,,25,144,144,152,152,152,,,24,1,1,16,16,25,152,152
2019-08-09,24,24,,19,24,16,24,16,138,138,24,24,16,,,,,,,,,,,
2019-08-10,,,24,,,144,144,144,16,48,432,192,192,16,,0,1,24,17,25,24,1,18,17
2019-08-11,18,18,,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,,,,,294,6,6,294,262,6,2,294,6,,1,1,24,1,2,2,2,152,2
