,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
2019-06-20,6,,294,,294,,292,,293,,292,,294,,358,,294,,294,,294,,294,
2019-06-21,294,,294,294,,294,,294,,294,,294,,294,294,,294,,294,,0,,6,
2019-06-22,6,,294,,294,,292,,38,,294,,294,,,,,,,6,,6,,6
2019-06-23,,4,,294,,294,,358,,358,,294,,294,262,,6,,22,,326,,6,
2019-06-24,326,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,,,358,,358,,294,,292,,292,,294,,70,,326,,6,,6,,6,
2019-06-26,6,,,,,,,,,,,,,,,16,,18,,24,,8,,24
2019-06-27,,147,128,,144,,144,,144,,144,,176,,,,,,6,,2,,0,
2019-06-28,0,,,432,,176,,144,,1,,155,,,17,,17,,24,,16,,6,
2019-06-29,17,,17,,22,,4,,6,,22,,57,,,,,6,,0,,6,,2
2019-06-30,,6,,,,,,294,,294,,294,,358,358,,294,,6,,6,,6,
2019-07-01,6,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,1,,1,,1,,144,,9,,152,,0,,17,,6,,2,,2,
2019-07-03,2,,,,,,,,,,,,,,,4,,6,,4,,0,,1
2019-07-04,,6,294,,49,,146,,294,,294,,326,,2,,1,,19,,17,,0,
2019-07-05,2,,,,,,,,,,,,,,17,,2,,17,,2,,2,
2019-07-06,16,,16,,18,,128,,17,,17,,128,,16,,16,,16,,17,,144,
2019-07-07,152,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,,,2,,16,,6,,1,,1,,4,,,,,,,,,,,
2019-07-09,,,,0,,6,,6,,6,,294,,294,1,,2,,2,,6,,6,
2019-07-10,6,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,292,,294,,358,,358,,294,,358,,18,,18,,2,,6,,24,
2019-07-12,144,,,,,,,,,,,,,,,,,,,,,,,
2019-07-13,,,,,,,292,,294,,294,,294,,17,,,,18,,18,,128,
2019-07-14,0,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,,,,24,,19,,6,,147,,17,,0,16,,16,,6,,6,,16,
2019-07-17,6,,2,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,1
2019-07-20,,1,4,,6,,262,,6,,1,,5,,0,,6,,2,,2,,0,
2019-07-21,1,,,,,,,,,,,,,,,,,,19,,160,,4,
2019-07-22,16,,128,,144,,17,,9,,153,,24,,24,,24,,16,,24,,24,
2019-07-23,128,,,0,,0,,4,,0,,0,,33,152,,144,,16,,144,,144,
2019-07-24,24,,,,,,,,,,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-30,,,,16,,17,,16,,17,,17,,,17,,18,,0,,16,,1,
2019-07-31,24,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03,,,16,,144,,16,,17,,17,,294,,144,,16,,24,,17,,19,
2019-08-04,144,,,,,,,,,,,,,,,16,,16,,16,,16,,16
2019-08-05,,144,,,,,,,,,,,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,,,,24,,24,,19,,17,,144,
2019-08-07,144,,24,,1,,19,,1,,24,,24,,,,,,1,,19,,24,
2019-08-08,2,,,25,,144,,144,,152,,152,,16,16,,24,,24,,16,,24,
2019-08-09,144,,19,,19,,16,,24,,24,,18,,,,,,,,,17,,24
2019-08-10,,24,,144,,48,,16,,144,,16,,144,1,,1,,24,,17,,24,
2019-08-11,24,,,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,,4,,38,,294,,262,,6,,6,,,,,,6,,2,,2,
2019-08-13,6,,,,,,,,,,,,,,,,,,,0,,16,,16
2019-08-14,,16,16,,16,,6,,292,,147,,294,,17,,17,,17,,24,,24,
2019-08-15,128,,,,,,,,,,,,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-20,,,,,,,,,,,,,,,,1,,1,,24,,18,,18
2019-08-21,,154,,,,,,,,,,,,,,,,,,,,,,
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-24,,,,144,,144,,6,,2,,19,,144,2,,2,,1,,1,,1,
2019-08-25,1,,6,,292,,294,,294,,38,,38,,,,,,,,,,,16
2019-08-26,,24,,,,,,,,,,,,,,,,,,,,,,
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-30,,,176,,154,,6,,1,,4,,41,,,,,,144,,144,,152,
2019-08-31,24,,,6,,38,,19,,146,,147,,,1,,17,,17,,1,,1,
2019-09-01,1,,,,,,358,,358,,6,,294,,,,,0,,1,,24,,1
2019-09-02,,1,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-04,,,294,,294,,358,,6,,6,,292,,6,,17,,17,,17,,0,
2019-09-05,2,,,,,,,,,,,,,,,,,,,,,1,,1
2019-09-06,,24,4,,1,,6,,24,,6,,16,,147,,16,,128,,128,,24,
2019-09-07,19,,,,,,,,,,,,,,,,,,,,,,,
2019-09-08,,,17,,6,,1,,144,,17,,24,,,,,,0,,24,,24,
2019-09-09,24,,,,,,,144,,144,,153,,144,144,,144,,16,,16,,128,
2019-09-10,144,,,,,,,,,,,,,,,,,,,,,,,
2019-09-11,,,,,,,,1,,1,,1,,33,17,,24,,24,,25,,17,
2019-09-12,24,,,,,,,,,,,,,,,,,,,,,,,
2019-09-13,,,6,,294,,294,,4,,25,,4,,19,,16,,130,,25,,128,
2019-09-14,144,,,,,,,,,,,,,,,,,,,24,,1,,4
2019-09-15,,1,144,,176,,24,,25,,144,,153,,24,,17,,0,,19,,1,
2019-09-16,17,,,,,,,,,,,,,,,,,,,,,,,
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-20,,,2,,6,,1,,9,,25,,24,,6,,1,,1,,25,,17,
2019-09-21,152,,,,,,,,,,,,,,,,,,,,,,,
2019-09-22,,,24,,16,,24,,25,,24,,17,,,,,,24,,17,,17,
2019-09-23,17,,,,,,,,,,,,,,1,,1,,24,,25,,24,
2019-09-24,16,,4,,36,,36,,4,,262,,262,,,,,,2,,19,,24,
2019-09-25,17,,,,,,,,,186,,152,,176,24,,2,,6,,24,,24,
2019-09-26,17,,292,,294,,326,,358,,294,,294,,,,,,,,,,,
2019-09-27,,,,4,,358,,294,,294,,358,,294,6,,2,,2,,17,,2,
2019-09-28,0,,,,,,,,,,,,,,,,,,,,,,,
2019-09-29,,,358,,294,,292,,292,,358,,292,,6,,6,,25,,6,,17,
2019-09-30,17,,,,,,,,,,,,,,,1,,9,,9,,0,,17
2019-10-01,,144,48,,65,,16,,144,,144,,144,,2,,1,,25,,41,,16,
2019-10-02,24,,,,,,,,,,,,,,,,,,,,,,,
2019-10-03,,,,,,,4,,297,,0,,9,,,,,24,,16,,1,,19
2019-10-04,,146,,16,,,,24,,1,,147,,1,,,,,24,,9,,24,
2019-10-05,17,,176,,,,,,,,,,,,,,,,,,,,,
2019-10-06,,,294,,294,,358,,358,,294,,294,,18,,18,,18,,17,,17,
2019-10-07,17,,,,,,,,,,,,,,,,,,,0,,0,,6
2019-10-08,,17,,,,,6,,294,,294,,6,,,,,,17,,146,,146,
2019-10-09,153,,,,,,,,,,,,,,6,,38,,6,,36,,6,
2019-10-10,4,,358,,292,,358,,260,,292,,294,,6,,38,,262,,6,,6,
2019-10-11,6,,,294,,294,,294,,294,,356,,292,262,,294,,294,,358,,292,
2019-10-12,294,,,,,,,,,,,,,,,,,,,,,,,
2019-10-13,,,,,,,,294,,358,,292,,294,6,,6,,6,,6,,152,
2019-10-14,154,,152,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,0,,4,,6,,6,,294,,297,,,,,,0,,4,,6,
2019-10-16,6,,,,,,,,,,,,,,,,,,,294,,294,,294
2019-10-17,,6,,,,,,,,,,,,,,,,,,,,,,
2019-10-18,,,,38,,6,,6,,294,,294,,,6,,19,,0,,4,,17,
2019-10-19,17,,292,,294,,294,,358,,294,,358,,,,,,,262,,6,,6
2019-10-20,,6,,294,,294,,294,,292,,358,,294,294,,358,,358,,358,,358,
2019-10-21,294,,294,,,,,,,,,,,,,,,,,,,,,
2019-10-22,,,292,,294,,294,,358,,358,,358,,294,,294,,294,,358,,358,
2019-10-23,358,,,,,,,,,,,,,,,,,,,6,,,,294
2019-10-24,,294,293,,358,,358,,358,,358,,358,,294,,326,,358,,294,,358,
2019-10-25,292,,,,,,,,,,,,,,,,,,,,,,,
2019-10-26,,,358,,294,,293,,356,,358,,292,,294,,294,,294,,358,,294,
2019-10-27,294,,,,,,,294,,292,,294,,294,294,,292,,358,,358,,292,
2019-10-28,293,,358,,294,,358,,292,,294,,293,,,,,,,38,,292,,36
2019-10-29,,6,,38,,358,,184,,152,,293,,6,294,,294,,358,,294,,36,
2019-10-30,293,,294,,,,,,,,,,,,,,,,,,,,,
2019-10-31,,4,293,,294,,358,,294,,358,,358,,,,,,294,,358,,294,
2019-11-01,358,,,,,,,,,,,,,,,294,,294,,294,,358,,294
2019-11-02,,358,292,,358,,294,,294,,358,,294,,,,,,54,,6,,294,
2019-11-03,38,,,49,,294,,294,,358,,294,,,152,,19,,152,,6,,18,
2019-11-04,147,,,,,,294,,309,,294,,294,6,,,,294,,36,,38,,294
2019-11-05,,294,,,,,,294,,294,,358,,358,,,,,6,,2,,6,
2019-11-06,6,,24,,,,,,,,,,,,,,,,,,,,,
2019-11-07,,,144,,48,,152,,184,,25,,144,,144,,144,,144,,144,,152,
2019-11-08,144,,,,,,,,,,,,,,,,,,,,,,,
2019-11-09,,,,,,,356,,356,,358,,294,,152,,,,146,,146,,18,
2019-11-10,128,,,,,,,,,,,,,,,,,,16,,0,,6,
2019-11-11,144,,152,,152,,24,,128,,146,,128,,25,,24,,152,,144,,9,
2019-11-12,153,,,,,,,4,,4,,292,,4,144,,176,,144,,144,,144,
2019-11-13,144,,,,,,,,358,,294,,292,,,,,,,,,,,
